idfuente,nombre_archivo,nombre_serie,signatura,tipo_doc,titulo_doc,fecha_doc,folio_pagina,contenido,URL
16,Archivo General de Indias,Correos,"CORREOS,275A,R.10",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1770-09-28,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Manuel Antonio de la Villa, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41248
17,Archivo General de Indias,Correos,"CORREOS,195B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1789-04-16,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Manuel Fernández Trelles, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40921
18,Archivo General de Indias,Correos,"CORREOS,275A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1770-03-03,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Manuel Antonio de la Villa, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41247
19,Archivo General de Indias,Correos,"CORREOS,270A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1768-02-01,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41099
20,Archivo General de Indias,Correos,"CORREOS,270A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1764-11-01,NULL,"Diario de navegación del paquebot 'El Cortés'. Consta de dos partes:a.- Viaje de ida al mando del capitán Alvaro de Castro, con destinoal puerto de La Habana. Salió el 1 de noviembre de 1764 y el 18de febrero de 1765 arribó al puerto de San Francisco deCampeche por avería. Alcanzó el puerto de La Habana el 23 demayo de 1765. El viaje de vuelta lo efectuó el capitán Juan deAragorry. b.- Viaje de vuelta al mando del capitán Juan de Aragory condestino al puerto de La Coruña. Salió de La Habana el 4 dejunio de 1765 y arribó al puerto de La Coruña el 14 de juliode dicho año",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41095
21,Archivo General de Indias,Correos,"CORREOS,270B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1787-04-02,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Manuel de Abona, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41114
22,Archivo General de Indias,Correos,"CORREOS,270B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1790-04-03,NULL,"Diario de navegación del paquebote 'El Cortés' al mando de su capitán, Antonio Santiago Piñeiro, con destino a la carrera de La Habana. Debido a los temporales desembarcó los pliegos en el puerto de Camariñas",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41117
23,Archivo General de Indias,Correos,"CORREOS,270B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-09-02,NULL,"Diario de navegación del paquebote 'El Cortés' al mando de su capitán, Francisco de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41113
24,Archivo General de Indias,Correos,"CORREOS,194B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1797-06-17,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Juan Manuel de Cagigas, con destino a la carrera de Buenos Aires. El 19 de junio arribó al puerto de Marín",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40894
25,Archivo General de Indias,Correos,"CORREOS,270A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1765-09-01,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41096
26,Archivo General de Indias,Correos,"CORREOS,270B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-03-10,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Manuel Fernández Trelles, con destino a la carrera de La Habana. El 22 de julio de 1786 arribó al puerto de Concurbión y alli permaneció hasta el 4 de agosto de 1786",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41112
27,Archivo General de Indias,Correos,"CORREOS,270B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1793-03-05,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Juan Antonio de Laredo, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41118
28,Archivo General de Indias,Correos,"CORREOS,270B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1772-12-03,NULL,"Diario de navegación del paquebote 'El Cortés' al mando de su capitán, Pedro de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41108
29,Archivo General de Indias,Correos,"CORREOS,270B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1777-12-03,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Francisco Antonio Abello, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41109
30,Archivo General de Indias,Correos,"CORREOS,270A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1771-08-02,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana. El 22 de diciembre de 1771 arribó al puerto de Bilbao, saliendo de Portugalete el 8 de febrero de 1772",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41105
31,Archivo General de Indias,Correos,"CORREOS,270A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1770-05-02,NULL,"Diario de navegación del paquebote 'El Cortés' al mando de su capitán, José Antonio de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41103
32,Archivo General de Indias,Correos,"CORREOS,270A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1767-07-01,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41098
33,Archivo General de Indias,Correos,"CORREOS,270A,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1768-08-02,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41100
34,Archivo General de Indias,Correos,"CORREOS,270B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1787-11-07,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Pedro del Barco, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41115
35,Archivo General de Indias,Correos,"CORREOS,270B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1772-04-03,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41107
36,Archivo General de Indias,Correos,"CORREOS,270A,R.3",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1766-12-08,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41097
37,Archivo General de Indias,Correos,"CORREOS,270A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1764-11-01,NULL,"Diario de navegación del paquebot 'El Cortés'. Consta de dos partes:a.- Viaje de ida al mando del capitán Alvaro de Castro, con destinoal puerto de La Habana. Salió el 1 de noviembre de 1764 y el 18de febrero de 1765 arribó al puerto de San Francisco deCampeche por avería. Alcanzó el puerto de La Habana el 23 demayo de 1765. El viaje de vuelta lo efectuó el capitán Juan deAragorry. b.- Viaje de vuelta al mando del capitán Juan de Aragory condestino al puerto de La Coruña. Salió de La Habana el 4 dejunio de 1765 y arribó al puerto de La Coruña el 14 de juliode dicho año",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41095
38,Archivo General de Indias,Correos,"CORREOS,270B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1787-04-02,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Manuel de Abona, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41114
39,Archivo General de Indias,Correos,"CORREOS,270B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1790-04-03,NULL,"Diario de navegación del paquebote 'El Cortés' al mando de su capitán, Antonio Santiago Piñeiro, con destino a la carrera de La Habana. Debido a los temporales desembarcó los pliegos en el puerto de Camariñas",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41117
40,Archivo General de Indias,Correos,"CORREOS,270B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-09-02,NULL,"Diario de navegación del paquebote 'El Cortés' al mando de su capitán, Francisco de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41113
41,Archivo General de Indias,Correos,"CORREOS,194B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1797-06-17,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Juan Manuel de Cagigas, con destino a la carrera de Buenos Aires. El 19 de junio arribó al puerto de Marín",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40894
42,Archivo General de Indias,Correos,"CORREOS,270A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1765-09-01,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41096
43,Archivo General de Indias,Correos,"CORREOS,270B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-03-10,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Manuel Fernández Trelles, con destino a la carrera de La Habana. El 22 de julio de 1786 arribó al puerto de Concurbión y alli permaneció hasta el 4 de agosto de 1786",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41112
44,Archivo General de Indias,Correos,"CORREOS,270B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1793-03-05,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Juan Antonio de Laredo, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41118
45,Archivo General de Indias,Correos,"CORREOS,279B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Cuervo'',1797-03-16,NULL,"Diario de navegación del paquebot 'El Cuervo' al mando de su capitán, Antonio de Berraondo, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41312
46,Archivo General de Indias,Correos,"CORREOS,279B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Despacho'',1769-03-16,NULL,"Diario de navegación del paquebot 'El Despacho' al mando de su capitán, Francisco de Madera, con destino a la carrera de La Habana. Diario del viaje de vuelta. El 14 de mayo de 1769 arribó a la isla Onzel donde desembarcaron los pliegos. Lleva pasaporte firmado por D. Antonio María Bucareli y Ursua. El 17 de mayo de 1769 arribó a Camariñas",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41304
47,Archivo General de Indias,Correos,"CORREOS,272B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1765-02-03,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Cayetano Antúnez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41167
48,Archivo General de Indias,Correos,"CORREOS,272B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1779-03-09,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Ignacio Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41173
49,Archivo General de Indias,Correos,"CORREOS,272B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1795-05-08,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán José Suarez Quirós, con destino a la carrera de La Habana. El 9 de octubre de 1795 arribó al puerto de Camariñas, donde un cartero recogió la correspondencia",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41175
50,Archivo General de Indias,Correos,"CORREOS,272B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1794-07-08,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Domingo de Fuentes y Villar, con destino a la carrera de La Habana. El 22 de noviembre de 1794 arribó al puerto de Camariñas, donde permaneció hasta el 12 de diciembre del mismo año",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41174
51,Archivo General de Indias,Correos,"CORREOS,272B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1778-07-04,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Ignacio Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41172
52,Archivo General de Indias,Correos,"CORREOS,272B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1768-01-03,NULL,"Diario de navegación del paquebote 'El Gallego' al mando de su capitán, Pedro de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41169
53,Archivo General de Indias,Correos,"CORREOS,272B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1765-11-02,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Cayetano Antúnez, con destino a la carrera de La Habana. El 3 de noviembre tuvo que interrumpir el viaje por el mal estado de la mar, alcanzando la raya de El Ferrol",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41168
54,Archivo General de Indias,Correos,"CORREOS,272B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1779-03-09,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Ignacio Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41173
55,Archivo General de Indias,Correos,"CORREOS,272B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1795-05-08,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán José Suarez Quirós, con destino a la carrera de La Habana. El 9 de octubre de 1795 arribó al puerto de Camariñas, donde un cartero recogió la correspondencia",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41175
56,Archivo General de Indias,Correos,"CORREOS,272B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1794-07-08,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Domingo de Fuentes y Villar, con destino a la carrera de La Habana. El 22 de noviembre de 1794 arribó al puerto de Camariñas, donde permaneció hasta el 12 de diciembre del mismo año",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41174
57,Archivo General de Indias,Correos,"CORREOS,272B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1778-07-04,NULL,"Diario de navegación del paquebot 'El Gallego' al mando de su capitán, Ignacio Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41172
58,Archivo General de Indias,Correos,"CORREOS,272B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1768-01-03,NULL,"Diario de navegación del paquebote 'El Gallego' al mando de su capitán, Pedro de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41169
59,Archivo General de Indias,Correos,"CORREOS,272A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1774-09-02,NULL,"Diario de navegación del paquebote 'El Grimaldi' al mando de su capitán, José Antonio de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41157
60,Archivo General de Indias,Correos,"CORREOS,272A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1765-08-02,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, José Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41151
61,Archivo General de Indias,Correos,"CORREOS,279B,R.27",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1770-02-27,NULL,"Diario de navegación del paquebote 'El Grimaldi' al mando de su capitán Francisco de Larrea, procedente de los astilleros de Sorroza.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41330
62,Archivo General de Indias,Correos,"CORREOS,192B,R.10",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1772-08-15,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, José Rodríguez Solís, con destino a la carrera de Buenos Aires. Se refiere únicamente al extracto de novedades y al manifiesto de propiedades experimentadas durante el viaje",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40856
63,Archivo General de Indias,Correos,"CORREOS,192B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1779-06-17,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Antonio Albuerne, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40858
64,Archivo General de Indias,Correos,"CORREOS,192B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1777-04-20,NULL,"Diario de navegación del paquebote 'El Grimaldi' al mando de su capitán, Francisco de Llanos, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40857
65,Archivo General de Indias,Correos,"CORREOS,192B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1771-08-15,NULL,"Diario de navegación del paquebote 'El Grimaldi' al mando de su capitán, Francisco de Llanos, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40855
66,Archivo General de Indias,Correos,"CORREOS,192B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1770-06-15,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Francisco de Larrea, con destino a la carrera de Buenos Aires. El 16 de febrero de 1771 arribó al puerto de El Ferrol",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40854
67,Archivo General de Indias,Correos,"CORREOS,279B,R.16",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-08-12,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, José de Mendieta, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41319
68,Archivo General de Indias,Correos,"CORREOS,272A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1775-12-02,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Domingo de Guesuraga, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41159
69,Archivo General de Indias,Correos,"CORREOS,272A,R.13",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1787-05-07,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Pedro del Barco, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41163
70,Archivo General de Indias,Correos,"CORREOS,272A,R.12",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1786-11-04,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Manuel Fernández Trelles, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41162
71,Archivo General de Indias,Correos,"CORREOS,272A,R.10",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1776-08-03,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Juan Antonio González, con destino a la carrera de La Habana. El 20 de enero de 1777 arribó al puerto de El Ferrol",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41160
72,Archivo General de Indias,Correos,"CORREOS,272A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1775-05-02,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Domingo de Guesuraga, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41158
73,Archivo General de Indias,Correos,"CORREOS,272A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1767-06-02,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, José Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41154
74,Archivo General de Indias,Correos,"CORREOS,272A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1784-02-05,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Juan Antonio de la Bodega, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41161
75,Archivo General de Indias,Correos,"CORREOS,272A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1773-06-01,NULL,"Diario de navegación del paquebote 'El Grimaldi' al mando de su capitán, Francisco de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41155
76,Archivo General de Indias,Correos,"CORREOS,279B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-02-06,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, José de la Cuadra y Foncerrada, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41314
77,Archivo General de Indias,Correos,"CORREOS,279B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-06-10,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Juan del Busto, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41316
78,Archivo General de Indias,Correos,"CORREOS,272A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1775-05-02,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Domingo de Guesuraga, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41158
79,Archivo General de Indias,Correos,"CORREOS,272A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1767-06-02,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, José Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41154
80,Archivo General de Indias,Correos,"CORREOS,272A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1784-02-05,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Juan Antonio de la Bodega, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41161
